prompt,completion
How many credit hours can a visiting student from outside the University enroll in at Prince Sultan University?,The maximum number of credit hours that an external visiting student can enroll in at Prince Sultan University is determined by the University Council.
What is the credit hour limit for a visiting student from another institution studying at Prince Sultan University?,It is up to the University Council to decide the maximum number of credit hours that visiting students from other universities can take while attending Prince Sultan University.
Are grades earned by visiting students at Prince Sultan University factored into their cumulative GPA calculation?,Course grades credited to visiting students will be recorded in their academic record but not included in the calculation of their cumulative GPA.
Are course grades awarded to visiting students at Prince Sultan University included in their cumulative GPA?,Visiting students’ grades will be added to their academic records but not factored into their cumulative GPA.
Do grades earned by visiting students at Prince Sultan University contribute to their cumulative GPA?,"While the course grades of visiting students will be recorded in their academic records, they will not be included in the calculation of their overall GPA."
"What are the requirements for a visiting student at Prince Sultan University, as stipulated by the University Council?","The conditions required by the University Council for visiting students at Prince Sultan University include obtaining approval from their college, studying at a recognized college or university, and ensuring the course taken outside their college is equivalent to a course required for graduation. Any other conditions required by the University Council should also be satisfied."
"What conditions must be met by visiting students at Prince Sultan University, as mandated by the University Council?","Visiting students at Prince Sultan University must receive approval from their college, attend a recognized college or university, and take a course that is equivalent to a course required for graduation. The University Council may also require additional conditions to be met."
"What guidelines must visiting students adhere to at Prince Sultan University, according to the University Council?","In order to be considered a visiting student at Prince Sultan University, certain conditions must be met, such as obtaining approval from their college, studying at a recognized college or university, and taking a course that is equivalent to a course required for graduation. It is also possible that the University Council may impose other requirements."
What is a visiting student?,A visiting student is a student who studies during a regular semester or summer session outside PSU.
Can you define what a visiting student is?,A student who attends classes outside of PSU during a regular semester or summer session is considered a visiting student.
"What does the term ""visiting student"" mean?",A visiting student is someone who enrolls in classes outside of PSU during a regular semester or summer session.
What is the maximum number of credit hours that can be transferred from another university?,The maximum total credit hours that can be transferred from another university is 34.
What is the limit on the number of credit hours that can be transferred from another university?,The maximum number of credit hours that can be transferred from another university is 34.
How many credit hours can a student transfer from another university?,34 credit hours is the maximum limit for the total number of credits that can be transferred from another university.
How many semesters are allowed for a student to study outside the university?,Two consecutive semesters or three non-sequential semesters are the maximum number allowed for a student to study outside the university.
What is the maximum number of semesters a student can study outside the university?,The maximum duration for a student to study outside the university is two consecutive semesters or three non-sequential semesters.
How long can a student study outside the university?,Students are allowed to study outside the university for a maximum of two consecutive semesters or three non-sequential semesters.
What is the minimum grade required for a transferred course?,The minimum grade required for a transferred course is not lower than C.
What is the lowest grade that can be accepted for a transferred course?,A transferred course must have a minimum grade of C or higher.
What is the minimum required grade for a course to be transferred?,A minimum grade of C is required for a course to be eligible for transfer.
What is the maximum number of consecutive semesters allowed for a student to study outside the university?,Two consecutive semesters or three non-sequential semesters are the maximum number allowed for a student to study outside the university.
What is the limit on the number of consecutive semesters a student can study outside the university?,A student may study outside the university for up to two consecutive semesters or three non-sequential semesters at most.
How many semesters in a row can a student study outside the university?,The maximum limit for studying outside the university is two consecutive semesters or three non-sequential semesters.
What is the process for a PSU student to study courses at another university?,A PSU student should submit a letter of application along with the Visiting Student Application Form to the concern department chair indicating the course(s) he/she wants to study at the other university.
How can a PSU student study courses at another university?,"To apply for studying at another university, a PSU student should submit a letter of application along with the Visiting Student Application Form to the relevant department chair, specifying the desired course(s) of study."
What are the steps involved for a PSU student to study courses at another university?,The Visiting Student Application Form and a letter of application should be submitted by a PSU student to the department chair concerned with the desired course(s) of study at another university.
What is the process for a student from another university to study at PSU?,A student from another university must obtain a written approval from his current college/university stating the PSU course(s) that he/she is allowed to study at PSU.
How can a student from another university study at PSU?,"To study at PSU, a student from another university must obtain written approval from their current college/university, stating the PSU course(s) they are permitted to take."
What are the steps involved for a student from another university to study at PSU?,Prior written approval from their current college/university is required for a student from another university to take PSU courses.
What is the role of the department council in studying outside courses?,The department council sets up a committee to study the outside courses which the student plans to take and determines the equivalent (PSU) courses.
What is the responsibility of the department council regarding studying outside courses?,The department council establishes a committee to review the courses that the student intends to take at another university and decides on equivalent PSU courses.
How does the department council factor into studying outside courses?,A committee is formed by the department council to assess courses taken by a student outside the university and determine the corresponding PSU courses.
What is the significance of a written approval from PSU for studying as a visiting student at another university/college?,The student must get a written approval from PSU to study as a visiting student in another university/college.
Why is written approval from PSU important for studying as a visiting student at another university/college?,"To study at another university/college as a visiting student, the student must obtain written approval from PSU."
What is the value of having written approval from PSU for studying as a visiting student at another university/college?,PSU's written approval is necessary for a student to study at another university/college as a visiting student.
What kind of approval is required for a student from another university to study at PSU?,A student from another university must obtain written approval from their current college/university stating which PSU course(s) they are permitted to study.
What type of approval is necessary for a student from another university to study at PSU?,"Before enrolling in a PSU course, a student from another university must obtain written approval from their current institution indicating which courses they are allowed to take at PSU."
What kind of authorization is needed for a student from another university to study at PSU?,Written permission from a student's home college/university stating which PSU courses they are eligible to study is required for enrollment.
What documents should a student submit to avoid delays in the transfer process?,"To avoid any delays in the transfer process, the student must submit all necessary documents at least 10 working days before classes begin."
What paperwork should a student provide to expedite the transfer process?,"For a smooth transfer process, students must submit all required documents at least 10 working days prior to the start of classes to prevent any delays."
Which documents should a student provide to avoid hold-ups in the transfer process?,"In order to ensure a smooth transfer process, it is recommended that students submit all necessary documents at least 10 working days before the start of classes."
What is the required length of official transcripts for a student from another university?,There is no information regarding how long the official transcripts of a student from another university are valid.
What financial rules apply to visiting students?,All financial policies are applicable to visiting students.
What are the financial guidelines that apply to visiting students?,Visiting students are subject to all financial rules and regulations.
What are the financial regulations for visiting students?,All financial regulations and policies apply to students visiting PSU.
What is the timeframe for submitting standardized test scores for transfer?,Standardized test scores submitted for consideration must have been taken within the last 2 years.
How long does a student have to submit standardized test scores for transfer?,Standardized test scores submitted for evaluation must have been taken within the previous 2 years.
What is the deadline for submitting standardized test scores for transfer?,"To be considered for admission, standardized test scores must have been taken within the past 2 years."
How often are tuition fees paid at Prince Sultan University?,Tuition fees are paid in two installments per year at the beginning of each semester. (Last Updated 2023/5/8)
What is the frequency of tuition fee payment at Prince Sultan University?,"Students are required to pay tuition fees twice a year, at the start of each semester."
At what intervals do students pay tuition fees at Prince Sultan University?,"Payment of tuition fees is done in two installments per year, at the beginning of each semester."
Does the tuition fees cover textbooks?,"No, the tuition fees do not cover textbooks. (Last Updated 2023/5/8)"
Are textbooks included in the tuition fees at Prince Sultan University?,Textbooks are not included in the tuition fees.
Do tuition fees at Prince Sultan University include the cost of textbooks?,Tuition fees do not cover the cost of textbooks.
When are tuition fees payable at Prince Sultan University?,The fees are payable at the beginning of each semester. (Last Updated 2023/5/8)
What is the payment deadline for tuition fees at Prince Sultan University?,Payment of fees must be made at the start of every semester.
By what date must tuition fees be paid at Prince Sultan University?,Fees are due and payable at the beginning of each semester.
What should a student do to withdraw from the University without any financial obligations?,The student has to submit a written withdrawal request to the Deanship of Admission and Registration before the beginning of the semester to avoid any financial obligations. (Last Updated 2023/5/8)
How can a student leave the University without any financial responsibilities?,"To avoid any financial obligations, students must submit a written request to withdraw from their courses before the start of the semester."
What are the steps a student should take to withdraw from the University without financial obligations?,Students need to send a written request to the Deanship of Admission and Registration before the semester begins if they want to avoid financial obligations.
What happens to the admission of a student who fails to report to the University for registration and payment of tuition fees at the announced time?,Their admission will be canceled. (Last Updated 2023/5/8)
"If a student fails to register and pay tuition fees by the specified time, what happens to their admission to the University?",Failure to meet payment deadlines will result in cancellation of admission.
What is the outcome for a student's admission if they do not pay tuition fees and register on time at Prince Sultan University?,"If payment deadlines are not met, the student's admission will be cancelled."
What payment methods are accepted for tuition fees at Prince Sultan University?,"Cashier’s check, SADAD, and bank deposit. (Last Updated 2023/5/8)"
Which payment methods are valid for tuition fees at Prince Sultan University?,"Payment methods accepted include cashier’s check, SADAD, and bank deposit."
What are the acceptable payment modes for tuition fees at Prince Sultan University?,"Students can make payments using a cashier’s check, SADAD, or bank deposit."
What is SADAD?,SADAD is a payment method. (Last Updated 2023/5/8)
Could you explain what SADAD means?,SADAD is one of the accepted payment methods.
What does the acronym SADAD stand for?,Students can use SADAD as a method of payment.
What is the biller code for Prince Sultan University?,The biller code for Prince Sultan University is 283. (Last Updated 2023/5/8)
What is the biller code used for Prince Sultan University?,Prince Sultan University's biller code is 283.
What code should be used to pay tuition fees at Prince Sultan University?,Students should use the biller code 283 for payments to Prince Sultan University.
What bank does PSU use for tuition deposit?,Prince Sultan University uses Saudi National Bank for tuition fees payments. (Last Updated 2023/5/8)
Which bank does Prince Sultan University use for tuition deposits?,Tuition fees at Prince Sultan University are paid through the Saudi National Bank.
What is the bank that PSU uses for tuition fee deposits?,The Saudi National Bank is the designated bank for tuition fee payments at Prince Sultan University.
What account number does Prince Sultan University use at the Saudi National Bank to receive tuition payments?,Prince Sultan University uses the account number 52900003176210 at the Saudi National Bank to receive tuition payments. (Last Updated 2023/5/8)
What is the account number for tuition fee payments that Prince Sultan University uses at the Saudi National Bank?,The account number 52900003176210 at the Saudi National Bank is used by Prince Sultan University to receive tuition payments.
Which account number does Prince Sultan University use at the Saudi National Bank to accept tuition fee payments?,Prince Sultan University receives tuition payments at the Saudi National Bank through account number 52900003176210.
What is the IBAN number for Prince Sultan University's account at the Saudi National Bank to receive tuition payments?,The IBAN number for Prince Sultan University's account at the Saudi National Bank to receive tuition payments is SA4310000052900003176210. (Last Updated 2023/5/8)
What is the IBAN number that Prince Sultan University uses for tuition payments at the Saudi National Bank?,"To make tuition fee payments to Prince Sultan University, use the IBAN number SA4310000052900003176210."
Which IBAN number does Prince Sultan University use for receiving tuition payments at the Saudi National Bank?,The IBAN number SA4310000052900003176210 is the one to be used when making tuition fee payments to Prince Sultan University.
Where should a payment receipt be submitted for payment of tuition fees by bank deposit?,Male and female students should submit their payment receipts to different email addresses: 'sa@psu.edu.sa' for males and 'info.psu.edu.sa/StudentAccounts' for females. (Last Updated 2023/5/8)
What is the location to submit payment receipts for tuition fees paid by bank deposit?,"To ensure proper handling of payment receipts, male and female students are required to submit their receipts to separate email addresses: 'sa@psu.edu.sa' for males and 'info.psu.edu.sa/StudentAccounts' for females. (Last Updated 2023/5/8)"
At what place should payment receipts for tuition fees paid by bank deposit be submitted?,Separate email addresses have been provided for male and female students to submit their payment receipts to: 'sa@psu.edu.sa' for males and 'info.psu.edu.sa/StudentAccounts' for females. (Last Updated 2023/5/8)
What is the email address for submission of payment receipt by bank deposit?,"Male students must submit their payment receipt to 'sa@psu.edu.sa', while female students must submit it to 'info.psu.edu.sa/StudentAccounts'. (Last Updated 2023/5/8)"
What email address should be used to submit payment receipts for tuition fees paid by bank deposit?,Payment receipts should be submitted by male and female students to their respective email addresses: 'sa@psu.edu.sa' for males and 'info.psu.edu.sa/StudentAccounts' for females. (Last Updated 2023/5/8)
Where should payment receipts for tuition fees paid by bank deposit be sent via email?,"For proper handling of payment receipts, it is required that male students send theirs to 'sa@psu.edu.sa' and female students send theirs to 'info.psu.edu.sa/StudentAccounts'. (Last Updated 2023/5/8)"
What is the website for submission of payment receipt by bank deposit?,The website to submit payment receipts via bank deposit is info.psu.edu.sa/StudentAccounts. (Last Updated 2023/5/8)
What is the web address to submit payment receipts for tuition fees paid by bank deposit?,Payment receipts for bank deposits can be submitted through info.psu.edu.sa/StudentAccounts. (Last Updated 2023/5/8)
Where can payment receipts for tuition fees paid by bank deposit be submitted online?,"To submit payment receipts for bank deposits, access info.psu.edu.sa/StudentAccounts. (Last Updated 2023/5/8)"
What is the academic year at Prince Sultan University composed of?,"The academic year at Prince Sultan University consists of two regular semesters and, if applicable, a summer session."
What does the academic year consist of at Prince Sultan University?,"At Prince Sultan University, the academic year includes two regular semesters and, if available, a summer session."
How is the academic year structured at Prince Sultan University?,"The academic year at PSU is comprised of two regular semesters, and if there is one, a summer session."
How long is an academic semester?,"At PSU, an academic semester lasts for a minimum of fifteen (15) weeks, excluding registration and final examination periods."
What is the duration of an academic semester at PSU?,"PSU's academic semesters consist of no less than fifteen (15) weeks of instruction, not counting registration and final exams."
How many weeks does an academic semester last at Prince Sultan University?,"An academic semester at PSU is a period of instruction that lasts for a minimum of fifteen (15) weeks, excluding registration and final examination periods."
What is the duration of a summer session at PSU?,"The length of a summer session at PSU does not exceed eight (8) weeks, excluding registration and final examination periods."
How long does a summer session at Prince Sultan University last?,"A summer session at PSU lasts for a maximum of eight (8) weeks, not including registration and final exams."
What is the length of time for a summer session at PSU?,"PSU's summer session is a period of instruction that lasts for no more than eight (8) weeks, excluding registration and final examination periods."
How does the weekly duration of courses in a summer session compare to their duration during a regular academic semester?,"During a summer session at PSU, each course's weekly duration is twice as long as its duration during the regular academic semester."
In what way do weekly course durations in a summer session differ from those in a regular academic semester at PSU?,"In a PSU summer session, each course's weekly duration is twice its regular academic semester duration."
What is the difference in weekly course duration between a summer session and a regular academic semester at Prince Sultan University?,Each course during a PSU summer session is twice as long per week as during the regular academic semester.
How many academic levels are required for graduation at PSU?,PSU requires a minimum of eight (8) academic levels to be completed to obtain a degree in accordance with the specifications of each approved degree program.
What is the minimum number of academic levels needed for graduation at Prince Sultan University?,"To graduate from PSU, students must complete at least eight (8) academic levels, based on their approved degree program's requirements."
How many academic levels does a student have to complete to graduate from PSU?,PSU's degree programs have specific requirements that mandate the completion of at least eight (8) academic levels to earn a degree.
What is a course at PSU?,"At PSU, a course is a subject of study within a particular academic level of the approved degree program for each major."
How are courses defined at Prince Sultan University?,PSU courses are topics of study within a particular academic level of each major's approved degree program.
What does the term 'course' refer to at PSU?,"Each PSU major has an approved degree program, which consists of courses that are subjects of study within a specific academic level."
What information distinguishes one course from another at PSU?,"Each course at PSU is identified by a unique number, code, title, and detailed description of its contents to differentiate it from other courses."
What criteria differentiate courses from one another at Prince Sultan University?,"Every course at PSU is assigned a distinct number, code, title, and a comprehensive explanation of its contents for clarity and differentiation."
How are courses distinguished from each other at PSU?,"To distinguish it from other courses, each course at PSU is assigned a unique number, code, title, and an in-depth description of its contents."
Where is the portfolio for each course at PSU kept?,"The record of each course's portfolio at PSU is maintained in its corresponding department for monitoring, assessment, and updates."
What is the location of the course portfolio at Prince Sultan University?,"The corresponding department of each course at PSU stores its portfolio's record for evaluation, monitoring, and updating purposes."
Where can the course portfolio be found at PSU?,"To keep track of progress, evaluation, and updates, the portfolio of each course at PSU is stored in its corresponding department."
Do all courses at PSU have prerequisite or co-requisite requirements?,Some PSU courses may require a prerequisite or co-requisite.
Are prerequisite or co-requisite requirements mandatory for all courses at Prince Sultan University?,Certain courses at PSU may necessitate meeting prerequisite or co-requisite requirements.
Do all courses at PSU have prerequisites or co-requisites?,Meeting prerequisite or co-requisite requirements may be necessary for some courses at PSU.
What is a credit hour at PSU?,"At PSU, a credit hour refers to either a weekly lecture that lasts no less than 50 minutes, or a lab or field study that lasts no less than 100 minutes."
"How is the term ""credit hour"" defined at Prince Sultan University?",A PSU credit hour denotes either a weekly lecture of no less than 50 minutes duration or a lab or field study of no less than 100 minutes duration.
"What does the expression ""credit hour"" signify at PSU?",Each PSU credit hour refers to either a weekly lecture of at least 50 minutes in length or a laboratory or field study lasting at least 100 minutes.
What is academic probation at PSU?,PSU's academic probation policy alerts a student with a cumulative GPA below the minimum acceptable limit.
What does it mean for a student to be on academic probation at Prince Sultan University?,A PSU student receives academic probation notice if their cumulative GPA falls below the minimum acceptable limit.
What are the consequences of being on academic probation at PSU?,A student at PSU who has a cumulative GPA below the minimum acceptable limit will be put on academic probation.
How is a student's standing during a semester evaluated at PSU?,"A student's performance during a semester at PSU is evaluated based on their class work score, which includes their performance in examinations, research, and other activities related to a specific course."
What criteria are used to assess a student's academic performance during a semester at Prince Sultan University?,"At PSU, a student's class work score, which comprises their performance in examinations, research, and other course-related activities, determines their performance during a semester."
What factors determine a student's status during a semester at PSU?,"To evaluate a student's performance during a semester at PSU, their class work score, which takes into account their performance in exams, research, and other course-related activities, is considered."
